company,rating,location,positionName,min_salary,max_salary,average_salary,skills,skill_categories,skills_count_all,skills_count_single,total_skills,city
Google,4.3,"San Bruno, CA","Senior Data Scientist, Research, YouTube Search",166000.0,244000.0,205000.0,"['python', 'r', 'statistics', 'data science', 'data infrastructure', 'sql', 'economics', 'physics', 'operations research']","[0, 0, 1, 2, 4, 5, 10, 10, 10]",9,"[2, 1, 1, 0, 1, 1, 0, 0, 0, 0, 3]",9,San Bruno
BAXTER,3.7,"Milwaukee, WI 53214",Senior AI Engineer - Data Scientist,112000.0,154000.0,133000.0,"['python', 'scala', 'optimization', 'machine learning', 'generative ai', 'data science', 'predictive modeling', 'spark', 'databricks', 'azure', 'tableau', 'power bi', 'data visualization', 'hipaa']","[0, 0, 1, 2, 2, 2, 2, 4, 4, 6, 7, 7, 7, 10]",14,"[2, 1, 4, 0, 2, 0, 1, 3, 0, 0, 1]",14,Milwaukee
Meta,4.2,"Redmond, WA","Audio Software Engineer, Applied Scientist",146993.6,146993.6,146993.6,"['c', 'c++', 'machine learning', 'generative ai', 'artificial intelligence', 'physics', 'audio signal processing', 'signal processing']","[0, 0, 2, 2, 2, 10, 10, 10]",8,"[2, 0, 3, 0, 0, 0, 0, 0, 0, 0, 3]",8,Redmond
Meta,4.2,"Bellevue, WA 98005","Software Engineer, Machine Learning",203350.0,240240.0,221795.0,"['python', 'java', 'c', 'c#', 'c++', 'haskell', 'php', 'perl', 'shell scripting', 'shell scripts', 'unix', 'linux', 'classification', 'regression', 'optimization', 'machine learning', 'deep learning', 'natural language processing', 'computer vision', 'recommendation systems', 'data mining', 'tensorflow', 'pytorch', 'mxnet', 'spark', 'hadoop', 'pig', 'mapreduce', 'sql', 'bigtable', 'hbase', 'git', 'physics', 'computer graphics']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 2, 2, 2, 2, 2, 2, 3, 3, 3, 4, 4, 4, 4, 5, 5, 5, 6, 10, 10]",34,"[12, 3, 6, 3, 4, 3, 1, 0, 0, 0, 2]",34,Bellevue
Lockheed Martin,4.0,"Shelton, CT 06484",AI / Machine Learning Research Engineer (early career),,,,"['python', 'c', 'c++', 'go', 'linux', 'machine learning', 'deep learning', 'computer vision', 'artificial intelligence', 'pytorch', 'scikit', 'numpy', 'pandas', 'opencv', 'kafka', 'docker', 'git', 'model deployment', 'grpc', 'high-performance computing', 'cuda', 'intel oneapi', 'nvidia tensorrt', 'triton inference server', 'onnxruntime', 'security', 'physics']","[0, 0, 0, 0, 0, 2, 2, 2, 2, 3, 3, 3, 3, 3, 4, 6, 6, 8, 8, 9, 9, 9, 9, 9, 9, 10, 10]",27,"[5, 0, 4, 5, 1, 0, 2, 0, 2, 6, 2]",27,Shelton
Google,4.3,"Cambridge, MA","Staff Data Scientist, Research, Search Platforms",197000.0,291000.0,244000.0,"['python', 'r', 'statistics', 'optimization', 'data science', 'data infrastructure', 'sql', 'economics', 'physics', 'operations research']","[0, 0, 1, 1, 2, 4, 5, 10, 10, 10]",10,"[2, 2, 1, 0, 1, 1, 0, 0, 0, 0, 3]",10,Cambridge
JPMorganChase,3.9,"Jacksonville, FL 32256","Applied AI/ML, Senior Associate - Gen AI & LLM",128250.0,195000.0,161625.0,"['python', 'r', 'machine learning', 'generative ai', 'large language models', 'llm', 'ai/ml', 'ai/ml development', 'data science', 'finance', 'data governance', 'communication skills']","[0, 0, 2, 2, 2, 2, 2, 2, 2, 10, 10, 10]",12,"[2, 0, 7, 0, 0, 0, 0, 0, 0, 0, 3]",12,Jacksonville
Comcast Corporation,3.6,"San Francisco, CA 94108","Executive Director, ML and Ad Marketplace",293755.64,459791.43,376773.53500000003,"['optimization', 'machine learning', 'artificial intelligence', 'data science', 'data infrastructure', 'data modeling']","[1, 2, 2, 2, 4, 5]",6,"[0, 1, 3, 0, 1, 1, 0, 0, 0, 0, 0]",6,San Francisco
Riverside Research Institute,3.9,"Beavercreek, OH 45431",AI/ML Engineer,70000.0,120000.0,95000.0,"['python', 'optimization', 'stochastic simulation', 'machine learning', 'computer vision', 'multi-modal ai/ml', 'ai/ml', 'artificial intelligence', 'tensorflow', 'high-performance computing', 'sociology', 'security', 'communication skills', 'physics', 'signal processing']","[0, 1, 1, 2, 2, 2, 2, 2, 3, 9, 10, 10, 10, 10, 10]",15,"[1, 2, 5, 1, 0, 0, 0, 0, 0, 1, 5]",15,Beavercreek
Mayo Clinic,3.8,"Rochester, MN 55901",Senior Software Engineer - AI/ML,138257.6,200512.0,169384.8,"['java', 'c', 'c#', 'c++', 'machine learning', 'deep learning', 'natural language processing', 'computer vision', 'generative ai', 'large language models', 'llm', 'ai/ml', 'artificial intelligence', 'ai engineering', 'data science', 'data engineering', 'aws', 'azure', 'gcp', 'sagemaker', 'azure ml', 'vertex ai', 'gcp vertex ai', 'compliance', 'security', 'communication skills']","[0, 0, 0, 0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 4, 6, 6, 6, 6, 6, 6, 6, 10, 10, 10]",26,"[4, 0, 11, 0, 1, 0, 7, 0, 0, 0, 3]",26,Rochester
EvenUp,3.3,"San Francisco, CA","Staff Fullstack Software Engineer, AI Document Generation",,,,"['python', 'java', 'c++', 'go', 'typescript', 'javascript', 'react', 'machine learning', 'generative ai', 'communication skills']","[0, 0, 0, 0, 0, 0, 0, 2, 2, 10]",10,"[7, 0, 2, 0, 0, 0, 0, 0, 0, 0, 1]",10,San Francisco
Exponent Inc.,3.8,"Phoenix, AZ 85027",Machine Learning Data Acquisition Scientist (Ph.D.),,,,"['statistics', 'optimization', 'machine learning', 'data science', 'project management', 'communication skills', 'physics', 'robotics']","[1, 1, 2, 2, 10, 10, 10, 10]",8,"[0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 4]",8,Phoenix
Meta,4.2,"Bellevue, WA 98005","Research Engineer, Speech & Language - Generative AI",177008.0,177008.0,177008.0,"['python', 'machine learning', 'reinforcement learning', 'generative ai', 'large language models', 'llm', 'artificial intelligence', 'speech recognition', 'foundation models', 'pytorch', 'physics']","[0, 2, 2, 2, 2, 2, 2, 2, 2, 3, 10]",11,"[1, 0, 8, 1, 0, 0, 0, 0, 0, 0, 1]",11,Bellevue
Lockheed Martin,4.0,"Fort Worth, TX 76102",Sustainment Digital Tools & Engineering AI/ML Engineer Sr,,,,"['python', 'r', 'java', 'c++', 'optimization', 'machine learning', 'ai/ml', 'artificial intelligence', 'tensorflow', 'pytorch', 'seaborn', 'data pipelines', 'ansible', 'jenkins', 'git', 'tableau', 'security']","[0, 0, 0, 0, 1, 2, 2, 2, 3, 3, 3, 4, 6, 6, 6, 7, 10]",17,"[4, 1, 3, 3, 1, 0, 3, 1, 0, 0, 1]",17,Fort Worth
Lockheed Martin,4.0,"Fort Worth, TX 76102",Applied AI Architect,,,,"['computer vision', 'ai/ml', 'ai/ml development', 'artificial intelligence', 'image processing', 'security']","[2, 2, 2, 2, 2, 10]",6,"[0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 1]",6,Fort Worth
Mayo Clinic,3.8,"Rochester, MN 55901",Senior Data Science Analyst - Remote,122990.4,184579.2,153784.8,"['probability', 'clustering', 'regression', 'statistical modeling', 'machine learning', 'deep learning', 'generative ai', 'artificial intelligence', 'data science', 'data mining', 'data modeling', 'security', 'project management', 'communication skills', 'operations research']","[1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 5, 10, 10, 10, 10]",15,"[0, 4, 6, 0, 0, 1, 0, 0, 0, 0, 4]",15,Rochester
Home Depot / THD,3.7,"Atlanta, GA 30339",Senior Data Analyst - Assortment Analytics,,,,"['python', 'r', 'java', 'c++', 'statistics', 'machine learning', 'data mining', 'sql', 'oracle', 'excel', 'tableau', 'finance', 'critical thinking']","[0, 0, 0, 0, 1, 2, 2, 5, 5, 7, 7, 10, 10]",13,"[4, 1, 2, 0, 0, 2, 0, 2, 0, 0, 2]",13,Atlanta
Home Depot / THD,3.7,"Atlanta, GA 30339","Data Scientist, RPA",,,,"['python', 'statistics', 'optimization', 'nlp', 'computer vision', 'data science', 'data mining', 'predictive modeling', 'sql', 'excel', 'tableau', 'data visualization', 'business intelligence', 'communication skills']","[0, 1, 1, 2, 2, 2, 2, 2, 5, 7, 7, 7, 7, 10]",14,"[1, 2, 5, 0, 0, 1, 0, 4, 0, 0, 1]",14,Atlanta
Lockheed Martin,4.0,"Herndon, VA",Part-Time AI Software Engineer Sr,,,,"['python', 'java', 'c#', 'c++', 'matlab', 'machine learning', 'deep learning', 'computer vision', 'ai/ml', 'artificial intelligence', 'data science', 'image processing', 'tensorflow', 'pytorch', 'keras', 'numpy', 'aws', 'security', 'communication skills', 'physics']","[0, 0, 0, 0, 0, 2, 2, 2, 2, 2, 2, 2, 3, 3, 3, 3, 6, 10, 10, 10]",20,"[5, 0, 7, 4, 0, 0, 1, 0, 0, 0, 3]",20,Herndon
Paratus Sciences Corporation,0.0,"Boston, MA",Machine Learning Scientist,,,,"['python', 'r', 'optimization', 'machine learning', 'deep learning', 'data science', 'tensorflow', 'pytorch', 'data engineering', 'sql', 'aws', 'docker', 'git', 'tableau', 'model deployment', 'security', 'bioinformatics']","[0, 0, 1, 2, 2, 2, 3, 3, 4, 5, 6, 6, 6, 7, 8, 10, 10]",17,"[2, 1, 3, 2, 1, 1, 3, 1, 1, 0, 2]",17,Boston
Sunayu,0.0,"Bethesda, MD 20814",Data Scientist - Top Secret/SCI,,,,"['python', 'r', 'statistics', 'classification', 'natural language processing', 'large language models', 'data science', 'image processing', 'streamlit', 'hadoop', 'big data', 'sql', 'elasticsearch', 'docker', 'kubernetes', 'git', 'business intelligence', 'economics', 'security', 'cyber security', 'physics']","[0, 0, 1, 1, 2, 2, 2, 2, 3, 4, 4, 5, 5, 6, 6, 6, 7, 10, 10, 10, 10]",21,"[2, 2, 4, 1, 2, 2, 3, 1, 0, 0, 4]",21,Bethesda
Lockheed Martin,4.0,"Herndon, VA",Senior AI/ML SW & Sys Architect,,,,"['python', 'machine learning', 'ai/ml', 'data science', 'tensorflow', 'pytorch', 'aws', 'azure', 'gcp', 'docker', 'kubernetes', 'jenkins', 'gitlab', 'ci/cd', 'security', 'communication skills', 'physics']","[0, 2, 2, 2, 3, 3, 6, 6, 6, 6, 6, 6, 6, 6, 10, 10, 10]",17,"[1, 0, 3, 2, 0, 0, 8, 0, 0, 0, 3]",17,Herndon
"Iambic Therapeutics, Inc",0.0,"San Diego, CA",Machine Learning Scientist II/Sr (Biomedical Images),152000.0,215000.0,183500.0,"['machine learning', 'deep learning', 'computer vision', 'pytorch', 'transformers', 'data pipelines', 'hpc']","[2, 2, 2, 3, 3, 4, 9]",7,"[0, 0, 3, 2, 1, 0, 0, 0, 0, 1, 0]",7,San Diego
IBR (Imagine Believe Realize),0.0,Remote,Data Scientist,135803.23,175483.45,155643.34000000003,"['python', 'statistics', 'regression', 'optimization', 'machine learning', 'ai/ml', 'data science', 'tensorflow', 'keras', 'scipy', 'numpy', 'spark', 'databricks', 'sql', 'aws', 'terraform', 'jenkins', 'ci/cd', 'compliance', 'security']","[0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 3, 4, 4, 5, 6, 6, 6, 6, 10, 10]",20,"[1, 3, 3, 4, 2, 1, 4, 0, 0, 0, 2]",20,Remote
Vidoori,3.1,"Hyattsville, MD 20785",Lead Data Scientist (AI/ML),,,,"['python', 'r', 'statistics', 'machine learning', 'deep learning', 'ai/ml', 'artificial intelligence', 'data science', 'data mining', 'tensorflow', 'pytorch', 'pandas', 'airflow', 'data pipelines', 'data engineering', 'aws', 'azure', 'gcp', 'excel', 'mlflow', 'dvc', 'compliance', 'team leadership', 'communication skills']","[0, 0, 1, 2, 2, 2, 2, 2, 2, 3, 3, 3, 4, 4, 4, 6, 6, 6, 7, 8, 8, 10, 10, 10]",24,"[2, 1, 6, 3, 3, 0, 3, 1, 2, 0, 3]",24,Hyattsville
Amentum,3.8,"Vienna, VA 22182",Data Scientist III,,,,"['python', 'r', 'matlab', 'machine learning', 'data science', 'data mining', 'predictive modeling', 'spark', 'big data', 'finance', 'security']","[0, 0, 0, 2, 2, 2, 2, 4, 4, 10, 10]",11,"[3, 0, 4, 0, 2, 0, 0, 0, 0, 0, 2]",11,Vienna
AtkinsRéalis,3.9,"New York, NY",Senior Data Scientist,74000.0,135000.0,104500.0,"['python', 'go', 'statistics', 'machine learning', 'data science', 'excel', 'tableau', 'project management']","[0, 0, 1, 2, 2, 7, 7, 10]",8,"[2, 1, 2, 0, 0, 0, 0, 2, 0, 0, 1]",8,New York
EliseAI,0.0,"New York, NY",AI Operations Specialist - Healthcare,60000.0,75000.0,67500.0,"['statistics', 'regression', 'security', 'communication skills']","[1, 1, 10, 10]",4,"[0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 2]",4,New York
Collins Aerospace,3.6,"Sterling, VA 20166",Senior Data Science Engineer (Onsite),90000.0,182000.0,136000.0,"['calculus', 'linear algebra', 'probability', 'statistics', 'classification', 'regression', 'machine learning', 'ai/ml', 'data science', 'tensorflow', 'pytorch', 'numpy', 'mapreduce', 'git', 'compliance', 'security', 'communication skills']","[1, 1, 1, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 6, 10, 10, 10]",17,"[0, 6, 3, 3, 1, 0, 1, 0, 0, 0, 3]",17,Sterling
Amazon,3.5,"North Reading, MA 01864","Data Scientist-Robotics, Performance & Insights",,,,"['python', 'r', 'perl', 'matlab', 'statistics', 'machine learning', 'nlp', 'generative ai', 'llm', 'prompt engineering', 'data science', 'transformers', 'data pipelines', 'sql', 'sagemaker', 'economics', 'finance', 'communication skills', 'robotics']","[0, 0, 0, 0, 1, 2, 2, 2, 2, 2, 2, 3, 4, 5, 6, 10, 10, 10, 10]",19,"[4, 1, 6, 1, 1, 1, 1, 0, 0, 0, 4]",19,North Reading
S&P Global,3.9,"New York, NY",Machine Learning Engineer,150000.0,190000.0,170000.0,"['python', 'classification', 'machine learning', 'nlp', 'natural language processing', 'llm', 'rag', 'prompt engineering', 'artificial intelligence', 'speech recognition', 'embedding models', 'vector databases', 'pytorch', 'transformers', 'airflow', 'aws', 'docker', 'kubernetes', 'jenkins']","[0, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 3, 4, 6, 6, 6, 6]",19,"[1, 1, 10, 2, 1, 0, 4, 0, 0, 0, 0]",19,New York
HEB,4.2,"San Antonio, TX 78204","Data Literacy Lead-Data Solutions (San Antonio, Austin and Dallas)",,,,"['data science', 'big data', 'sql', 'business intelligence', 'data governance', 'critical thinking']","[2, 4, 5, 7, 10, 10]",6,"[0, 0, 1, 0, 1, 1, 0, 1, 0, 0, 2]",6,San Antonio
CyberTrend Engineering LLC,0.0,"Annapolis Junction, MD 20701",Artificial Intelligence Machine Learning 3- TS/SCI w/poly clearance required,,,,"['python', 'r', 'java', 'c', 'matlab', 'statistics', 'machine learning', 'deep learning', 'ai/ml', 'artificial intelligence', 'data science', 'data mining', 'data engineering', 'aws', 'data governance', 'communication skills', 'operations research']","[0, 0, 0, 0, 0, 1, 2, 2, 2, 2, 2, 2, 4, 6, 10, 10, 10]",17,"[5, 1, 6, 0, 1, 0, 1, 0, 0, 0, 3]",17,Annapolis Junction
Pathogens Artificial Intelligence Inc.,0.0,Remote,AI developer advisor,,,,['data infrastructure'],[4],1,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",1,Remote
Handshake,3.7,"New York, NY","AI Researcher, Handshake AI",180000.0,300000.0,240000.0,"['llm', 'ai/ml', 'pytorch']","[2, 2, 3]",3,"[0, 0, 2, 1, 0, 0, 0, 0, 0, 0, 0]",3,New York
Handshake,3.7,"San Francisco, CA","Prompt Engineer, Handshake AI",120000.0,165000.0,142500.0,"['python', 'typescript', 'statistics', 'optimization', 'nlp', 'llm', 'rag', 'prompt engineering', 'foundation models', 'embedding models', 'vector databases', 'llmops', 'communication skills']","[0, 0, 1, 1, 2, 2, 2, 2, 2, 2, 2, 8, 10]",13,"[2, 2, 7, 0, 0, 0, 0, 0, 1, 0, 1]",13,San Francisco
EvenUp,3.3,"San Francisco, CA","Staff Backend Software Engineer, AI Document Generation",,,,"['python', 'java', 'c++', 'go', 'machine learning', 'generative ai', 'communication skills']","[0, 0, 0, 0, 2, 2, 10]",7,"[4, 0, 2, 0, 0, 0, 0, 0, 0, 0, 1]",7,San Francisco
Waymo,3.1,"Mountain View, CA","Senior Software Engineer, Machine Learning, Infra & Eval",204000.0,259000.0,231500.0,"['machine learning', 'natural language processing', 'computer vision', 'recommendation systems', 'large language models', 'tensorflow', 'pytorch', 'jenkins', 'ci/cd', 'model deployment']","[2, 2, 2, 2, 2, 3, 3, 6, 6, 8]",10,"[0, 0, 5, 2, 0, 0, 2, 0, 1, 0, 0]",10,Mountain View
Google,4.3,"Mountain View, CA","Lead Data Scientist, Research, Multimodal Search",197000.0,291000.0,244000.0,"['python', 'r', 'statistics', 'data science', 'data infrastructure', 'sql', 'economics', 'physics', 'operations research']","[0, 0, 1, 2, 4, 5, 10, 10, 10]",9,"[2, 1, 1, 0, 1, 1, 0, 0, 0, 0, 3]",9,Mountain View
Deloitte,3.9,United States,Palantir Data Scientist,,,,"['security', 'communication skills']","[10, 10]",2,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2]",2,United States
Walmart,3.4,"Bentonville, AR 72716","(USA) Senior Manager, Data Science",110000.0,220000.0,165000.0,"['python', 'r', 'java', 'c', 'go', 'scala', 'calculus', 'statistics', 'hypothesis testing', 'classification', 'optimization', 'machine learning', 'nlp', 'artificial intelligence', 'data science', 'tensorflow', 'scikit', 'matplotlib', 'torch', 'spark', 'sql', 'nosql', 'excel', 'tableau', 'data visualization', 'model deployment', 'model evaluation', 'economics', 'finance', 'compliance', 'data governance', 'operations research']","[0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 5, 5, 7, 7, 7, 8, 8, 10, 10, 10, 10, 10]",32,"[6, 5, 4, 4, 1, 2, 0, 3, 2, 0, 5]",32,Bentonville
Amazon,3.5,"Santa Clara, CA 94085","Language Data Scientist III , AWS Q for Business",143300.0,247600.0,195450.0,"['python', 'r', 'matlab', 'machine learning', 'nlp', 'generative ai', 'llm', 'ai/ml', 'artificial intelligence', 'data science', 'data pipelines', 'data wrangling', 'sql', 'aws', 'tableau', 'data visualization']","[0, 0, 0, 2, 2, 2, 2, 2, 2, 2, 4, 4, 5, 6, 7, 7]",16,"[3, 0, 7, 0, 2, 1, 1, 2, 0, 0, 0]",16,Santa Clara
CyberTrend Engineering LLC,0.0,"Annapolis Junction, MD 20701",Data Scientist 3 - TS/SCI w/poly clearance required,,,,"['python', 'r', 'matlab', 'statistics', 'machine learning', 'ai/ml', 'artificial intelligence', 'data mining', 'aws', 'operations research']","[0, 0, 0, 1, 2, 2, 2, 2, 6, 10]",10,"[3, 1, 4, 0, 0, 0, 1, 0, 0, 0, 1]",10,Annapolis Junction
Amazon.com Services LLC,3.5,"Seattle, WA","Sr Software Dev Engineer, AI, Storm Design System",151300.0,261500.0,206400.0,['ai/ml'],[2],1,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",1,Seattle
Sleeper,3.0,United States,Mid-Level Data Scientist / Quant - Risk & Trading,187200.0,187200.0,187200.0,"['python', 'machine learning', 'data science', 'predictive modeling', 'pandas', 'xgboost', 'kafka', 'airflow', 'sql', 'looker', 'economics', 'finance']","[0, 2, 2, 2, 3, 3, 4, 4, 5, 7, 10, 10]",12,"[1, 0, 3, 2, 2, 1, 0, 1, 0, 0, 2]",12,United States
Koniag Government Services,3.8,Remote,Cyber Defense – Mid-Level Data Scientist/Analyst (AI/Automation),,,,"['machine learning', 'deep learning', 'natural language processing', 'anomaly detection', 'ai/ml', 'data science', 'big data', 'data pipelines', 'sql', 'data visualization', 'model deployment', 'model validation', 'compliance', 'security']","[2, 2, 2, 2, 2, 2, 4, 4, 5, 7, 8, 8, 10, 10]",14,"[0, 0, 6, 0, 2, 1, 0, 1, 2, 0, 2]",14,Remote
Handshake,3.7,"New York, NY","Research Engineer, Handshake AI",180000.0,300000.0,240000.0,"['python', 'machine learning', 'deep learning', 'llm', 'pytorch', 'model evaluation', 'communication skills']","[0, 2, 2, 2, 3, 8, 10]",7,"[1, 0, 3, 1, 0, 0, 0, 0, 1, 0, 1]",7,New York
Deloitte,3.9,"Tempe, AZ 85281",AI & Data Manager - Life Sciences R&D (CMC),130800.0,241000.0,185900.0,"['ai/ml', 'chemistry']","[2, 10]",2,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1]",2,Tempe
Barclays,3.9,"Henderson, NV",Data Scientist,152500.0,167750.0,160125.0,"['machine learning', 'generative ai', 'large language models', 'data science', 'etl', 'data pipelines', 'finance']","[2, 2, 2, 2, 4, 4, 10]",7,"[0, 0, 4, 0, 2, 0, 0, 0, 0, 0, 1]",7,Henderson
Walmart,3.4,"Sunnyvale, CA 94089","Staff, Data Scientist",143000.0,286000.0,214500.0,"['python', 'r', 'java', 'scala', 'statistics', 'classification', 'clustering', 'regression', 'optimization', 'machine learning', 'deep learning', 'reinforcement learning', 'large language models', 'artificial intelligence', 'data science', 'tensorflow', 'pytorch', 'scikit', 'torch', 'spark', 'data pipelines', 'sql', 'economics', 'operations research']","[0, 0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 5, 10, 10]",24,"[4, 5, 6, 4, 2, 1, 0, 0, 0, 0, 2]",24,Sunnyvale
Progressive,3.6,Remote,Data Analyst Senior or Lead,79200.0,127700.0,103450.0,"['sql', 'excel', 'tableau', 'power bi', 'business intelligence']","[5, 7, 7, 7, 7]",5,"[0, 0, 0, 0, 0, 1, 0, 4, 0, 0, 0]",5,Remote
Handshake,3.7,"New York, NY","Prompt Engineer, Handshake AI",120000.0,165000.0,142500.0,"['python', 'typescript', 'statistics', 'optimization', 'nlp', 'llm', 'rag', 'prompt engineering', 'foundation models', 'embedding models', 'vector databases', 'llmops', 'communication skills']","[0, 0, 1, 1, 2, 2, 2, 2, 2, 2, 2, 8, 10]",13,"[2, 2, 7, 0, 0, 0, 0, 0, 1, 0, 1]",13,New York
"Iambic Therapeutics, Inc",0.0,"San Diego, CA",Machine Learning Scientist II/Sr (Omics),152000.0,215000.0,183500.0,"['python', 'statistics', 'experimental design', 'machine learning', 'deep learning', 'pytorch', 'transformers', 'data pipelines', 'data engineering', 'hpc', 'computational biology', 'bioinformatics']","[0, 1, 1, 2, 2, 3, 3, 4, 4, 9, 10, 10]",12,"[1, 2, 2, 2, 2, 0, 0, 0, 0, 1, 2]",12,San Diego
Google,4.3,"Sunnyvale, CA","Software Engineering Manager II, AI/ML, Google Workspace",197000.0,291000.0,244000.0,"['python', 'java', 'c', 'c++', 'javascript', 'optimization', 'natural language processing', 'reinforcement learning', 'artificial intelligence', 'sheets', 'model deployment', 'model evaluation', 'distributed computing', 'security']","[0, 0, 0, 0, 0, 1, 2, 2, 2, 7, 8, 8, 9, 10]",14,"[5, 1, 3, 0, 0, 0, 0, 1, 2, 1, 1]",14,Sunnyvale
Deloitte,3.9,"Nashville, TN 37203",AI & Data Manager - Life Sciences R&D (CMC),130800.0,241000.0,185900.0,"['ai/ml', 'chemistry']","[2, 10]",2,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1]",2,Nashville
Citigroup,3.9,"Irving, TX",GenAI Technology Lead - (Hybrid),156160.0,234240.0,195200.0,"['python', 'statistics', 'classification', 'clustering', 'regression', 'time series analysis', 'statistical modeling', 'machine learning', 'deep learning', 'nlp', 'natural language processing', 'computer vision', 'generative ai', 'rag', 'prompt engineering', 'ai/ml', 'data science', 'tensorflow', 'pytorch', 'keras', 'hugging face', 'sql', 'nosql', 'aws', 'azure', 'gcp', 'docker', 'kubernetes', 'git', 'model deployment', 'compliance', 'data privacy']","[0, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 3, 3, 3, 5, 5, 6, 6, 6, 6, 6, 6, 8, 10, 10]",32,"[1, 6, 10, 4, 0, 2, 6, 0, 1, 0, 2]",32,Irving
Steampunk,3.3,"McLean, VA 22102",Data Scientist (Predictive),140000.0,190000.0,165000.0,"['python', 'r', 'java', 'scala', 'bash', 'unix', 'deep learning', 'generative ai', 'data science', 'tensorflow', 'keras', 'torch', 'spark', 'hadoop', 'big data', 'sql', 'elasticsearch', 'data modeling', 'aws', 'azure', 'gcp', 'sagemaker', 'git', 'tableau', 'power bi', 'data visualization', 'flask']","[0, 0, 0, 0, 0, 0, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 6, 6, 7, 7, 7, 8]",27,"[6, 0, 3, 3, 3, 3, 5, 3, 1, 0, 0]",27,McLean
"BI Pharmaceuticals, Inc.",4.0,"Ridgefield, CT 06877",Senior Clinical Data Scientist,,,,"['r', 'statistics', 'regression', 'data science']","[0, 1, 1, 2]",4,"[1, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0]",4,Ridgefield
Deloitte,3.9,"New York, NY",Azure AI Security Senior Consultant,118700.0,218600.0,168650.0,"['python', 'java', 'machine learning', 'generative ai', 'llm', 'ai/ml', 'artificial intelligence', 'sql', 'azure', 'kubernetes', 'terraform', 'github', 'ci/cd', 'model deployment', 'model monitoring', 'model evaluation', 'serverless', 'compliance', 'security', 'cyber security', 'data governance']","[0, 0, 2, 2, 2, 2, 2, 5, 6, 6, 6, 6, 6, 8, 8, 8, 8, 10, 10, 10, 10]",21,"[2, 0, 5, 0, 0, 1, 5, 0, 4, 0, 4]",21,New York
AXA,3.9,"Chicago, IL 60601",Head of Data & AI,110000.0,140000.0,125000.0,"['big data', 'data warehousing', 'business intelligence', 'compliance', 'security', 'data privacy']","[4, 5, 7, 10, 10, 10]",6,"[0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 3]",6,Chicago
Amazon,3.5,"Arlington, VA","Senior Delivery Consultant- GenAI/ML, AWS, Industries",138200.0,239000.0,188600.0,"['statistics', 'optimization', 'machine learning', 'deep learning', 'generative ai', 'ai/ml', 'aws', 'sagemaker', 'fraud detection', 'compliance', 'security', 'hipaa', 'communication skills']","[1, 1, 2, 2, 2, 2, 6, 6, 10, 10, 10, 10, 10]",13,"[0, 2, 4, 0, 0, 0, 2, 0, 0, 0, 5]",13,Arlington
Netflix,4.0,Remote,"Analyst, Talent Analytics (Machine Learning)",80000.0,280000.0,180000.0,"['python', 'r', 'statistics', 'hypothesis testing', 'classification', 'clustering', 'regression', 'time series analysis', 'optimization', 'statistical inference', 'experimental design', 'machine learning', 'data science', 'predictive modeling', 'sql']","[0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 5]",15,"[2, 9, 3, 0, 0, 1, 0, 0, 0, 0, 0]",15,Remote
Collins Aerospace,3.6,Wisconsin,AI Platform Engineer (Remote),82000.0,164000.0,123000.0,"['python', 'go', 'machine learning', 'deep learning', 'ai/ml', 'artificial intelligence', 'big data', 'aws', 'azure', 'sagemaker', 'kubernetes', 'terraform', 'jenkins', 'github', 'ci/cd', 'flask', 'fastapi', 'internet of things', 'compliance', 'security', 'blockchain']","[0, 0, 2, 2, 2, 2, 4, 6, 6, 6, 6, 6, 6, 6, 6, 8, 8, 9, 10, 10, 10]",21,"[2, 0, 4, 0, 1, 0, 8, 0, 2, 1, 3]",21,Wisconsin
