company,rating,location,positionName,min_salary,max_salary,average_salary,skills,skill_categories,skills_count_all,skills_count_single,total_skills,city
Infosys,3.8,"Washington, NC",Data Science Analyst - Python and Machine Learning,56000.0,85400.0,70700.0,"['python', 'machine learning', 'llm', 'ai/ml', 'data science', 'data pipelines', 'sql', 'data visualization']","[0, 2, 2, 2, 2, 4, 5, 7]",8,"[1, 0, 4, 0, 1, 1, 0, 1, 0, 0, 0]",8,Washington
Apple,4.1,"Cupertino, CA",Senior ML Data Program Manager,165500.0,248700.0,207100.0,"['python', 'machine learning', 'generative ai', 'data science', 'foundation models', 'data engineering', 'security', 'critical thinking']","[0, 2, 2, 2, 2, 4, 10, 10]",8,"[1, 0, 4, 0, 1, 0, 0, 0, 0, 0, 2]",8,Cupertino
FocusKPI Inc.,0.0,"Mountain View, CA",Android AI ML Engineer - On-Device,166400.0,193440.0,179920.0,"['java', 'kotlin', 'optimization', 'machine learning', 'ai/ml', 'data science', 'tensorflow', 'pytorch', 'data pipelines', 'aws', 'gcp', 'sagemaker', 'vertex ai', 'model deployment', 'compliance', 'security', 'federated learning']","[0, 0, 1, 2, 2, 2, 3, 3, 4, 6, 6, 6, 6, 8, 10, 10, 10]",17,"[2, 1, 3, 2, 1, 0, 4, 0, 1, 0, 3]",17,Mountain View
Johnson Controls,3.6,"Houston, TX",Moveworks AI Agent Developer (remote),,,,"['artificial intelligence', 'compliance', 'data privacy']","[2, 10, 10]",3,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 2]",3,Houston
Apple,4.1,"Sunnyvale, CA",Machine Learning Compiler Architect,207800.0,378700.0,293250.0,"['c++', 'optimization', 'deep learning']","[0, 1, 2]",3,"[1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0]",3,Sunnyvale
SalesPoint Pvt. Ltd.,5.0,Remote,Senior Data Scientist,145600.0,156000.0,150800.0,"['python', 'optimization', 'machine learning', 'generative ai', 'llm', 'rag', 'prompt engineering', 'data science', 'tensorflow', 'pytorch', 'physics']","[0, 1, 2, 2, 2, 2, 2, 2, 3, 3, 10]",11,"[1, 1, 6, 2, 0, 0, 0, 0, 0, 0, 1]",11,Remote
HCA Healthcare,3.4,"Nashville, TN 37203",Senior AI Engineer,,,,"['python', 'nlp', 'large language models', 'tensorflow', 'pytorch', 'transformers', 'spacy', 'nltk', 'sql', 'vertex ai', 'llmops', 'flask']","[0, 2, 2, 3, 3, 3, 3, 3, 5, 6, 8, 8]",12,"[1, 0, 2, 5, 0, 1, 1, 0, 2, 0, 0]",12,Nashville
Apple,4.1,"Cupertino, CA","AI Solutions Architect, Data Solutions & Initiatives",175800.0,264200.0,220000.0,"['python', 'optimization', 'generative ai', 'llm', 'prompt engineering', 'artificial intelligence', 'vector databases', 'tensorflow', 'pytorch', 'transformers', 'aws', 'azure', 'gcp', 'docker', 'kubernetes', 'finance', 'communication skills']","[0, 1, 2, 2, 2, 2, 2, 3, 3, 3, 6, 6, 6, 6, 6, 10, 10]",17,"[1, 1, 5, 3, 0, 0, 5, 0, 0, 0, 2]",17,Cupertino
JPMorganChase,3.9,"Jersey City, NJ 07310",Data Scientist,165400.0,195000.0,180200.0,"['python', 'statistics', 'optimization', 'machine learning', 'artificial intelligence', 'data science', 'numpy', 'pandas', 'xgboost', 'data infrastructure', 'sql', 'dynamodb', 'data modeling', 'aws', 'model evaluation', 'model interpretability', 'finance']","[0, 1, 1, 2, 2, 2, 3, 3, 3, 4, 5, 5, 5, 6, 8, 8, 10]",17,"[1, 2, 3, 3, 1, 3, 1, 0, 2, 0, 1]",17,Jersey City
DGN Technologies,0.0,"Mountain View, CA 94035",AI/ML ﻿Researcher,145600.0,208000.0,176800.0,"['optimization', 'natural language processing', 'reinforcement learning', 'large language models', 'llm', 'ai/ml', 'model deployment']","[1, 2, 2, 2, 2, 2, 8]",7,"[0, 1, 5, 0, 0, 0, 0, 0, 1, 0, 0]",7,Mountain View
TIA Infotek inc,0.0,"Addison, TX 75001",Data Scientist – Generative AI and Document Extraction,92622.40000000001,111529.59999999999,102076.0,"['nlp', 'generative ai']","[2, 2]",2,"[0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0]",2,Addison
New York Life Insurance Co,3.6,"New York, NY","Senior Associate, Analytics & AI Analyst",95000.0,162500.0,128750.0,"['python', 'optimization', 'machine learning', 'generative ai', 'large language models', 'llm', 'ai/ml', 'artificial intelligence', 'data science', 'hugging face', 'databricks', 'data pipelines', 'sql', 'aws', 'azure', 'model evaluation', 'security', 'communication skills']","[0, 1, 2, 2, 2, 2, 2, 2, 2, 3, 4, 4, 5, 6, 6, 8, 10, 10]",18,"[1, 1, 7, 1, 2, 1, 2, 0, 1, 0, 2]",18,New York
Western Governors University,3.6,"Salt Lake City, UT",Data Scientist I - Curriculum Analytics,95900.0,143800.0,119850.0,"['python', 'r', 'statistics', 'classification', 'regression', 'machine learning', 'natural language processing', 'data pipelines', 'data engineering', 'sql', 'github', 'ci/cd', 'excel', 'tableau', 'power bi', 'finance', 'project management']","[0, 0, 1, 1, 1, 2, 2, 4, 4, 5, 6, 6, 7, 7, 7, 10, 10]",17,"[2, 3, 2, 0, 2, 1, 2, 3, 0, 0, 2]",17,Salt Lake City
JPMorganChase,3.9,"Jersey City, NJ 07310",Data Scientist,165400.0,195000.0,180200.0,"['python', 'statistics', 'optimization', 'machine learning', 'artificial intelligence', 'data science', 'numpy', 'pandas', 'xgboost', 'data infrastructure', 'sql', 'dynamodb', 'data modeling', 'aws', 'model evaluation', 'model interpretability', 'finance']","[0, 1, 1, 2, 2, 2, 3, 3, 3, 4, 5, 5, 5, 6, 8, 8, 10]",17,"[1, 2, 3, 3, 1, 3, 1, 0, 2, 0, 1]",17,Jersey City
Celonis,3.5,"Raleigh, NC",Associate Value Engineer (AI for Supply Chain) - Orbit Program,,,,"['python', 'machine learning', 'data science', 'big data', 'sql', 'oracle', 'tableau', 'power bi', 'economics', 'finance', 'communication skills']","[0, 2, 2, 4, 5, 5, 7, 7, 10, 10, 10]",11,"[1, 0, 2, 0, 1, 2, 0, 2, 0, 0, 3]",11,Raleigh
AbbVie,3.8,"North Chicago, IL",DIRECTOR DSA - DATA & TECHNOLOGY OPS,,,,"['statistics', 'machine learning', 'artificial intelligence', 'data science', 'big data', 'data governance', 'project management', 'communication skills', 'bioinformatics']","[1, 2, 2, 2, 4, 10, 10, 10, 10]",9,"[0, 1, 3, 0, 1, 0, 0, 0, 0, 0, 4]",9,North Chicago
"NUBYT, Inc.",0.0,"Mountain View, CA 94043",AI/ML Engineer,176800.0,193440.0,185120.0,"['java', 'kotlin', 'classification', 'clustering', 'optimization', 'machine learning', 'anomaly detection', 'ai/ml', 'tensorflow', 'pytorch', 'data pipelines', 'aws', 'gcp', 'sagemaker', 'vertex ai', 'model deployment', 'compliance', 'security', 'data governance', 'signal processing', 'federated learning']","[0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 4, 6, 6, 6, 6, 8, 10, 10, 10, 10, 10]",21,"[2, 3, 3, 2, 1, 0, 4, 0, 1, 0, 5]",21,Mountain View
EVERSANA,2.7,"Yardley, PA 19067",Principal Statistician,120000.0,140000.0,130000.0,"['r', 'statistics', 'aws', 'git', 'excel', 'compliance']","[0, 1, 6, 6, 7, 10]",6,"[1, 1, 0, 0, 0, 0, 2, 1, 0, 0, 1]",6,Yardley
Microsoft,4.2,"Mountain View, CA 94043","Principal, Microsoft AI Monetization Strategy",130900.0,272300.0,201600.0,"['economics', 'finance']","[10, 10]",2,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2]",2,Mountain View
JPMorganChase,3.9,"Jersey City, NJ 07310",Data Scientist,170000.0,210000.0,190000.0,"['python', 'r', 'hypothesis testing', 'classification', 'regression', 'machine learning', 'deep learning', 'data science', 'predictive modeling', 'spark', 'hive', 'etl', 'data engineering', 'sql', 'aws', 'model deployment']","[0, 0, 1, 1, 1, 2, 2, 2, 2, 4, 4, 4, 4, 5, 6, 8]",16,"[2, 3, 4, 0, 4, 1, 1, 0, 1, 0, 0]",16,Jersey City
CACI,3.8,"Springfield, VA 22150",AI/ML Manager - Automation and Orchestration,131800.0,290000.0,210900.0,"['machine learning', 'ai/ml', 'artificial intelligence', 'tensorflow', 'pytorch', 'aws', 'tableau', 'compliance', 'project management']","[2, 2, 2, 3, 3, 6, 7, 10, 10]",9,"[0, 0, 3, 2, 0, 0, 1, 1, 0, 0, 2]",9,Springfield
A Place For Mom,4.3,"New York, NY",Staff Machine Learning Engineer,150000.0,170000.0,160000.0,"['python', 'statistics', 'optimization', 'statistical modeling', 'machine learning', 'llm', 'tensorflow', 'pytorch', 'keras', 'scikit', 'xgboost', 'spark', 'databricks', 'data pipelines', 'sql', 'aws', 'security', 'communication skills']","[0, 1, 1, 1, 2, 2, 3, 3, 3, 3, 3, 4, 4, 4, 5, 6, 10, 10]",18,"[1, 3, 2, 5, 3, 1, 1, 0, 0, 0, 2]",18,New York
Apple,4.1,"Cupertino, CA","Senior Machine Learning Engineer, Siri Attention and Invocation",143100.0,264200.0,203650.0,"['optimization', 'machine learning', 'computer vision', 'llm', 'tensorflow', 'pytorch', 'critical thinking', 'audio signal processing', 'signal processing']","[1, 2, 2, 2, 3, 3, 10, 10, 10]",9,"[0, 1, 3, 2, 0, 0, 0, 0, 0, 0, 3]",9,Cupertino
NVIDIA,4.2,"Santa Clara, CA 95050",Senior Compiler Verification Engineer - Deep Learning,136000.0,264500.0,200250.0,"['python', 'machine learning', 'deep learning', 'large language models', 'tensorflow', 'pytorch', 'cuda']","[0, 2, 2, 2, 3, 3, 9]",7,"[1, 0, 3, 2, 0, 0, 0, 0, 0, 1, 0]",7,Santa Clara
Durlston Partners,0.0,California,Machine Learning Researcher – Early-Stage AI Infrastructure,240000.0,360000.0,300000.0,"['machine learning', 'github']","[2, 6]",2,"[0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0]",2,California
Altak Group,0.0,Remote,Data Scientist,135200.0,145600.0,140400.0,"['statistics', 'machine learning', 'deep learning', 'nlp', 'large language models', 'data science', 'data mining', 'hadoop', 'sagemaker', 'tableau', 'model deployment', 'project management']","[1, 2, 2, 2, 2, 2, 2, 4, 6, 7, 8, 10]",12,"[0, 1, 6, 0, 1, 0, 1, 1, 1, 0, 1]",12,Remote
FedEx Dataworks,5.0,"Memphis, TN 38125",OR Data Scientist II,,,,"['python', 'java', 'scala', 'calculus', 'linear algebra', 'statistics', 'optimization', 'machine learning', 'artificial intelligence', 'data science', 'tensorflow', 'pytorch', 'xgboost', 'spark', 'kafka', 'databricks', 'sql', 'mlflow', 'communication skills', 'operations research']","[0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 8, 10, 10]",20,"[3, 4, 3, 3, 3, 1, 0, 0, 1, 0, 2]",20,Memphis
Cisco Systems,4.1,"San Jose, CA",AI Software Engineering Tech Lead (AI Validation / AI Artifacts),,,,"['ai/ml', 'aws', 'azure', 'gcp', 'docker', 'kubernetes', 'grpc', 'security']","[2, 6, 6, 6, 6, 6, 8, 10]",8,"[0, 0, 1, 0, 0, 0, 5, 0, 1, 0, 1]",8,San Jose
ICF,3.4,"Reston, VA 20190",Senior CMS Data/Policy SME,89203.0,183491.0,136347.0,"['artificial intelligence', 'data science', 'data modeling', 'tableau', 'power bi', 'compliance']","[2, 2, 5, 7, 7, 10]",6,"[0, 0, 2, 0, 0, 1, 0, 2, 0, 0, 1]",6,Reston
Cleary University,3.5,"Howell, MI 48843",Artificial Intelligence (AI) Subject Matter Expert,156000.0,208000.0,182000.0,"['optimization', 'prompt engineering', 'artificial intelligence']","[1, 2, 2]",3,"[0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0]",3,Howell
Amazon.com Services LLC,3.5,"San Francisco, CA","Member of Technical Staff - Applied Science - People Leader, AGI Autonomy",120000.0,350000.0,235000.0,"['python', 'java', 'c++', 'natural language processing', 'reinforcement learning', 'large language models', 'ai/ml', 'foundation models']","[0, 0, 0, 2, 2, 2, 2, 2]",8,"[3, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0]",8,San Francisco
University of California San Francisco,4.1,"San Francisco, CA 94143",Research Data Scientist,69000.0,100200.0,84600.0,"['python', 'r', 'statistics', 'classification', 'data science', 'big data', 'sql', 'project management', 'communication skills']","[0, 0, 1, 1, 2, 4, 5, 10, 10]",9,"[2, 2, 1, 0, 1, 1, 0, 0, 0, 0, 2]",9,San Francisco
Unified,3.0,"New York, NY 10022",Data Scientist,96000.0,120000.0,108000.0,"['python', 'unix', 'statistics', 'machine learning', 'llm', 'rag', 'prompt engineering', 'data science', 'spark', 'airflow', 'big data', 'etl', 'data wrangling', 'sql', 'aws', 'docker', 'git', 'tableau', 'business intelligence']","[0, 0, 1, 2, 2, 2, 2, 2, 4, 4, 4, 4, 4, 5, 6, 6, 6, 7, 7]",19,"[2, 1, 5, 0, 5, 1, 3, 2, 0, 0, 0]",19,New York
SAP,4.2,"Saint Louis Park, MN 55416",AI Development Expert,164700.0,374200.0,269450.0,"['python', 'java', 'go', 'llm', 'prompt engineering', 'finance', 'compliance']","[0, 0, 0, 2, 2, 10, 10]",7,"[3, 0, 2, 0, 0, 0, 0, 0, 0, 0, 2]",7,Saint Louis Park
Goldman Sachs,3.9,"Dallas, TX 75201",AI Engineer - Marquee Team - Dallas - GBM Public,,,,"['python', 'java', 'c++', 'statistics', 'time series analysis', 'machine learning', 'deep learning', 'natural language processing', 'generative ai', 'ai/ml', 'data science', 'finance', 'physics']","[0, 0, 0, 1, 1, 2, 2, 2, 2, 2, 2, 10, 10]",13,"[3, 2, 6, 0, 0, 0, 0, 0, 0, 0, 2]",13,Dallas
Apple,4.1,"Cupertino, CA",Machine Learning Manager - Apple Ads,252400.0,378700.0,315550.0,"['python', 'r', 'statistics', 'classification', 'clustering', 'regression', 'machine learning', 'anomaly detection', 'data science', 'data mining', 'pandas', 'spark', 'data engineering', 'sql', 'data warehousing', 'tableau', 'data visualization', 'finance', 'operations research']","[0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 4, 4, 5, 5, 7, 7, 10, 10]",19,"[2, 4, 4, 1, 2, 2, 0, 2, 0, 0, 2]",19,Cupertino
