positionName,company,location,min_salary,max_salary,skills,skill_categories,skills_count_single
"Applied Scientist II, Sponsored Products - Bidding",Amazon.com Services LLC,"New York, NY",136000.0,223400.0,"['python', 'java', 'c++', 'optimization', 'machine learning', 'data mining', 'model validation', 'high-performance computing', 'distributed computing']","[0, 0, 0, 1, 2, 2, 8, 9, 9]","[3.0, 1.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 2.0, 0.0]"
AI Developer Efficiency Product Manager,Facebook App,"Menlo Park, CA",202000.0,277000.0,"['machine learning', 'artificial intelligence', 'critical thinking', 'physics']","[2, 2, 10, 10]","[0.0, 0.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0]"
Principal Clinical Data Scientist,"BI Pharmaceuticals, Inc.","Ridgefield, CT 06877",161398.899,251235.8031,"['c', 'statistics', 'optimization', 'data science', 'sql', 'chemistry']","[0, 1, 1, 2, 5, 10]","[1.0, 2.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0]"
"Data Engineering Manager, Analytics",Meta,"Bellevue, WA 98005",173000.0,242000.0,"['python', 'java', 'data science', 'hadoop', 'data engineering', 'sql', 'data warehousing', 'data visualization', 'business intelligence', 'project management', 'physics']","[0, 0, 2, 4, 4, 5, 5, 7, 7, 10, 10]","[2.0, 0.0, 1.0, 0.0, 2.0, 2.0, 0.0, 2.0, 0.0, 0.0, 2.0]"
"Delivery Consultant - Machine Learning Engineer, AWS Professional Services, AWS Professional Services","Amazon Web Services, Inc.","Boston, MA",118200.0,204300.0,"['python', 'java', 'scala', 'typescript', 'javascript', 'machine learning', 'deep learning', 'natural language processing', 'generative ai', 'prompt engineering', 'ai/ml', 'artificial intelligence', 'predictive modeling', 'tensorflow', 'pytorch', 'airflow', 'data pipelines', 'data engineering', 'sql', 'aws', 'sagemaker', 'terraform', 'ci/cd', 'Kubeflow', 'mlflow', 'distributed computing', 'compliance', 'security', 'hipaa', 'communication skills']","[0, 0, 0, 0, 0, 2, 2, 2, 2, 2, 2, 2, 2, 3, 3, 4, 4, 4, 5, 6, 6, 6, 6, 6, 8, 9, 10, 10, 10, 10]","[5.0, 0.0, 8.0, 2.0, 3.0, 1.0, 5.0, 0.0, 1.0, 1.0, 4.0]"
AI & Data Platform Program Lead - SVP,Information Technology Senior Management Forum,"New York, NY",192000.0,288000.0,"['rag', 'prompt engineering', 'ai/ml']","[2, 2, 2]","[0.0, 0.0, 3.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
Senior Machine Learning Engineer,Capital One,"New York, NY",113249.16,182841.4676,"['python', 'java', 'scala', 'machine learning', 'data science', 'tensorflow', 'pytorch', 'spark', 'big data', 'data pipelines', 'data engineering', 'aws', 'azure', 'explainable ai', 'distributed computing', 'dask', 'compliance']","[0, 0, 0, 2, 2, 3, 3, 4, 4, 4, 4, 6, 6, 8, 9, 9, 10]","[3.0, 0.0, 2.0, 2.0, 4.0, 0.0, 2.0, 0.0, 1.0, 2.0, 1.0]"
Gen AI Lead Engineer - SVP,Citigroup,"New York, NY",192000.0,288000.0,"['classification', 'optimization', 'machine learning', 'nlp', 'natural language processing', 'reinforcement learning', 'generative ai', 'multi-task learning', 'large language models', 'llm', 'rag', 'prompt engineering', 'ai/ml', 'data science', 'NER', 'tensorflow', 'pytorch', 'keras', 'hugging face', 'transformers', 'aws', 'docker', 'kubernetes', 'git', 'ci/cd', 'model deployment', 'parallel processing', 'compliance', 'data privacy']","[1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 6, 6, 6, 6, 6, 8, 9, 10, 10]","[0.0, 2.0, 13.0, 5.0, 0.0, 0.0, 5.0, 0.0, 1.0, 1.0, 2.0]"
Applied AI Researcher (USA),Articul8,United States,123230.9403,215092.0194,"['python', 'probability', 'statistics', 'optimization', 'machine learning', 'deep learning', 'natural language processing', 'computer vision', 'reinforcement learning', 'generative ai', 'artificial intelligence', 'data pipelines', 'data wrangling', 'aws', 'azure', 'gcp', 'git', 'model evaluation', 'project management']","[0, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 4, 4, 6, 6, 6, 6, 8, 10]","[1.0, 3.0, 7.0, 0.0, 2.0, 0.0, 4.0, 0.0, 1.0, 0.0, 1.0]"
Lead Machine Learning Engineer,Honeywell,"Atlanta, GA 30308",131213.7335,224000.0908,"['python', 'classification', 'clustering', 'optimization', 'machine learning', 'deep learning', 'generative ai', 'llm', 'data science', 'tensorflow', 'pytorch', 'keras', 'transformers', 'spacy', 'spark', 'data engineering', 'azure', 'gcp', 'azure ml', 'kubernetes', 'distributed computing', 'compliance', 'security']","[0, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 4, 4, 6, 6, 6, 6, 9, 10, 10]","[1.0, 3.0, 5.0, 5.0, 2.0, 0.0, 4.0, 0.0, 0.0, 1.0, 2.0]"
